"","V1","V2","V3","V4","V5"
"1","Avro",100,0.029,0.014,1248
"2","Avro",1000,0.006,0.004,10249
"3","Avro",10000,0.012,0.012,100270
"4","Avro",20000,0.014,0.011,200311
"5","Avro",100000,0.067,0.065,1000564
"6","Avro",200000,0.089,0.086,2000900
"7","Avro",500000,0.11,0.067,5001886
"8","Avro",1000000,0.155,0.127,10003525
"9","Avro",2000000,0.324,0.223,20006801
"10","Avro",3000000,0.665,0.326,30010077
"11","Avro",4000000,0.777,0.531,40013353
"12","Avro",5000000,0.794,0.536,50016650
"13","Kryo",100,0,0.01,115
"14","Kryo",1000,0,0.001,1015
"15","Kryo",10000,0,0.003,10016
"16","Kryo",20000,0,0.002,20016
"17","Kryo",100000,0,0.003,100016
"18","Kryo",200000,0,0.005,200016
"19","Kryo",500000,0,0.008,500016
"20","Kryo",1000000,0,0.015,1000016
"21","Kryo",2000000,0,0.05,2000017
"22","Kryo",3000000,0,0.045,3000017
"23","Kryo",4000000,0,0.059,4000017
"24","Kryo",5000000,0,0.074,5000017
"25","MessagePack",100,0.008,0.009,1100
"26","MessagePack",1000,0.005,0.002,11000
"27","MessagePack",10000,0.006,0.006,110000
"28","MessagePack",20000,0.023,0.007,220000
"29","MessagePack",100000,0.01,0.008,1100000
"30","MessagePack",200000,0.018,0.012,2200000
"31","MessagePack",500000,0.041,0.029,5500000
"32","MessagePack",1000000,0.077,0.071,11000000
"33","MessagePack",2000000,0.156,0.12,22000000
"34","MessagePack",3000000,0.252,0.206,33000000
"35","MessagePack",4000000,0.375,0.283,44000000
"36","MessagePack",5000000,0.52,0.394,55000000
"37","Json",100,0.058,0.041,6701
"38","Json",1000,0.005,0.01,67001
"39","Json",10000,0.013,0.031,670001
"40","Json",20000,0.011,0.02,1340001
"41","Json",100000,0.049,0.045,6700001
"42","Json",200000,0.039,0.07,13400001
"43","Json",500000,0.094,0.231,33500001
"44","Json",1000000,0.195,0.424,67000001
"45","Json",2000000,0.355,0.771,134000001
"46","Json",3000000,0.649,1.474,201000001
"47","Json",4000000,0.82,2.311,268000001
"48","Json",5000000,1.005,2.494,335000001
"49","Avro",100,0.003,0,1248
"50","Avro",1000,0.003,0.001,10249
"51","Avro",10000,0.004,0.001,100270
"52","Avro",20000,0.006,0.002,200311
"53","Avro",100000,0.036,0.012,1000564
"54","Avro",200000,0.033,0.022,2000900
"55","Avro",500000,0.088,0.067,5001886
"56","Avro",1000000,0.171,0.128,10003525
"57","Avro",2000000,0.324,0.267,20006801
"58","Avro",3000000,0.535,0.382,30010077
"59","Avro",4000000,0.67,0.499,40013353
"60","Avro",5000000,0.833,0.566,50016650
"61","Kryo",100,0,0,115
"62","Kryo",1000,0,0,1015
"63","Kryo",10000,0,0,10016
"64","Kryo",20000,0,0.001,20016
"65","Kryo",100000,0,0.002,100016
"66","Kryo",200000,0,0.003,200016
"67","Kryo",500000,0,0.007,500016
"68","Kryo",1000000,0,0.014,1000016
"69","Kryo",2000000,0,0.03,2000017
"70","Kryo",3000000,0,0.043,3000017
"71","Kryo",4000000,0,0.058,4000017
"72","Kryo",5000000,0,0.074,5000017
"73","MessagePack",100,0.002,0,1100
"74","MessagePack",1000,0.002,0,11000
"75","MessagePack",10000,0.003,0.001,110000
"76","MessagePack",20000,0.004,0.002,220000
"77","MessagePack",100000,0.01,0.006,1100000
"78","MessagePack",200000,0.017,0.011,2200000
"79","MessagePack",500000,0.041,0.03,5500000
"80","MessagePack",1000000,0.088,0.069,11000000
"81","MessagePack",2000000,0.167,0.122,22000000
"82","MessagePack",3000000,0.265,0.193,33000000
"83","MessagePack",4000000,0.387,0.257,44000000
"84","MessagePack",5000000,0.461,0.304,55000000
"85","Json",100,0.003,0,6701
"86","Json",1000,0.003,0,67001
"87","Json",10000,0.004,0.003,670001
"88","Json",20000,0.008,0.007,1340001
"89","Json",100000,0.021,0.035,6700001
"90","Json",200000,0.037,0.07,13400001
"91","Json",500000,0.089,0.171,33500001
"92","Json",1000000,0.192,0.436,67000001
"93","Json",2000000,0.347,0.833,134000001
"94","Json",3000000,0.595,1.583,201000001
"95","Json",4000000,0.854,2.312,268000001
"96","Json",5000000,0.951,4.873,335000001
"97","Avro",100,0.003,0,1248
"98","Avro",1000,0.002,0,10249
"99","Avro",10000,0.004,0.001,100270
"100","Avro",20000,0.005,0.003,200311
"101","Avro",100000,0.017,0.011,1000564
"102","Avro",200000,0.033,0.022,2000900
"103","Avro",500000,0.079,0.055,5001886
"104","Avro",1000000,0.156,0.133,10003525
"105","Avro",2000000,0.321,0.235,20006801
"106","Avro",3000000,0.566,0.332,30010077
"107","Avro",4000000,0.644,0.447,40013353
"108","Avro",5000000,0.829,0.587,50016650
"109","Kryo",100,0,0,115
"110","Kryo",1000,0,0.001,1015
"111","Kryo",10000,0,0,10016
"112","Kryo",20000,0,0.001,20016
"113","Kryo",100000,0,0.002,100016
"114","Kryo",200000,0,0.003,200016
"115","Kryo",500000,0,0.007,500016
"116","Kryo",1000000,0,0.014,1000016
"117","Kryo",2000000,0,0.045,2000017
"118","Kryo",3000000,0,0.043,3000017
"119","Kryo",4000000,0,0.057,4000017
"120","Kryo",5000000,0,0.073,5000017
"121","MessagePack",100,0.003,0,1100
"122","MessagePack",1000,0.002,0,11000
"123","MessagePack",10000,0.003,0.001,110000
"124","MessagePack",20000,0.004,0.001,220000
"125","MessagePack",100000,0.011,0.006,1100000
"126","MessagePack",200000,0.017,0.012,2200000
"127","MessagePack",500000,0.041,0.029,5500000
"128","MessagePack",1000000,0.078,0.058,11000000
"129","MessagePack",2000000,0.171,0.121,22000000
"130","MessagePack",3000000,0.245,0.189,33000000
"131","MessagePack",4000000,0.378,0.301,44000000
"132","MessagePack",5000000,0.448,0.352,55000000
"133","Json",100,0.003,0,6701
"134","Json",1000,0.002,0.001,67001
"135","Json",10000,0.005,0.004,670001
